id,question,words,core_word,answer,freq
709,乙脑疫苗是属于活的还是死的疫苗呀,"乙脑,疫苗,死,疫苗",乙脑,乙脑疫苗分为乙脑灭活疫苗和乙脑减毒活疫苗。,
710,乙脑疫苗是不是终生免疫,"乙脑,疫苗,终生,免疫",乙脑,乙脑疫苗不是终身免疫，但按照乙脑疫苗免疫程序完成接种后，一般不用再免疫。如果当地乙脑疫情暴发以及监测到人群的乙脑抗体水平过低，可启动应急补种乙脑疫苗。,
711,乙脑疫苗多久起效,"乙脑,疫苗,多久,起效",乙脑,接种乙脑疫苗后起效一般在２－４周左右产生抗体的,
712,接种乙脑疫苗要不要做蛋清测试,"接种,乙脑,疫苗,做,蛋清,测试",乙脑,接种乙脑疫苗之前无需做鸡蛋蛋清等相关的过敏试验,
713,打乙脑疫苗能吃鸡蛋吗,"乙脑,疫苗,吃,鸡蛋",乙脑,已经吃过鸡蛋的婴幼儿可以正常吃,
714,乙脑疫苗的年龄限制,"乙脑,疫苗,年龄",乙脑,主要为≥8月龄儿童，及由非疫区进入疫区的儿童和成人,
715,乙脑疫苗是自费还是免费,"乙脑,疫苗,自费,免费",乙脑,乙脑减毒活疫苗是免费接种的，乙脑灭活疫苗需要自费接种,
716,乙脑疫苗的接种方式哪种比较好,"乙脑,疫苗,接种,方式",乙脑,乙脑在上臂外侧三角肌下缘附着处注射的接种方式比较好。,
717,哪种乙脑疫苗比较好,"乙脑,疫苗",乙脑,乙脑减活疫苗和乙脑灭活疫苗都是世界卫生组织推荐的疫苗，效果和安全性的证据均非常充分,
718,乙脑疫苗打几价比较好,"乙脑,疫苗,打几价",乙脑,乙脑疫苗没有几价之分。,
719,乙脑疫苗不能空腹注射是吗,"乙脑,疫苗,空腹,注射",乙脑,乙脑疫苗可以空腹注射。,
720,打完乙脑疫苗后哪些药能吃哪些药不能吃,"完,乙脑,疫苗,药能,吃,药,吃",乙脑,患急性疾病、严重慢性疾病、慢性疾病的急性发作期和发热者不能接种，服用药物需要具体需要咨询下医生。,
721,打完乙脑疫苗之后哪些食物能吃哪些不能,"完,乙脑,疫苗,食物,吃",乙脑,正常饮食即可。对于一些辛辣刺激或含酒精的食物可避免食用，并且注意首次食用的食物是否会包含过敏原，如果对食物不放心具体可以咨询下医生。,
722,疾病患者是否能接种乙脑疫苗,"疾病,患者,接种,乙脑,疫苗",乙脑,患急性疾病、严重慢性疾病、慢性疾病的急性发作期和发热者不能接种，不能接种乙脑疫苗，康复后再接种,
723,接种乙脑疫苗和季节有关系吗,"接种,乙脑,疫苗,季节,关系",乙脑,按照接种医生预约日期前往接种门诊即可。,
724,天气热不能打乙脑疫苗吗,"天气,热,乙脑,疫苗",乙脑,按照接种医生预约日期前往接种门诊即可，遇极端天气不宜出行时可以推迟接种但不要提前。,
725,宝宝打乙脑疫苗会可能引起肚子痛吗,"宝宝,乙脑,疫苗,肚子痛",乙脑,打乙脑疫苗可能会引起一过性的肚子痛，但2-3天内无法好转需及时就医排查是否存在其他病因。,
726,打了卡介苗之后还会感染吗,"卡介苗,还会,感染",卡介苗,理论上，接种卡介苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。此外，还要加强其他方面的预防，如讲究卫生，不和结核病患者接触，少带婴幼儿去公共场所等。,
727,打了卡介苗之后还会传染吗,"卡介苗,还会,传染",卡介苗,卡介苗（BCG）是一种无毒牛型结核分枝杆菌活菌疫苗，它可以阻止结核分枝杆菌的血液播散，但不能阻止原发感染，主要预防婴幼儿结核性脑膜炎和结核播散性疾病，无法预防肺结核。,
728,打了卡介苗之后还会得病吗,"卡介苗,还会,得病",卡介苗,理论上，接种卡介苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。此外，还要加强其他方面的预防，如讲究卫生，不和结核病患者接触，少带婴幼儿去公共场所等。,
729,不打卡介苗之后会得水痘吗,"卡介苗,会得,水痘",卡介苗,卡介苗主要预防婴幼儿结核性脑膜炎和结核播散性疾病。不能预防水痘。,
730,打了卡介苗之后会得湿疹吗,"卡介苗,会得,湿疹",卡介苗,卡介苗主要预防婴幼儿结核性脑膜炎和结核播散性疾病。不能预防湿疹。,
731,打卡介苗后得水痘验血能验出来吗,"卡介苗,水痘,验血,能验",卡介苗,卡介苗主要预防婴幼儿结核性脑膜炎和结核播散性疾病。不能预防水痘。水痘需在医疗机构进行诊断。,
732,以前打过卡介苗是不是过期了,"卡介苗,过期",卡介苗,接种卡介苗后的免疫持续时间尚不明确。基于研究数据，推测保护力随时间的推移而减弱，并且在接种10-20年后可能不存在保护力。,
733,刚出水痘可以接种卡介苗吗,"刚出,水痘,接种,卡介苗",水痘,刚出水痘不宜接种卡介苗。建议在身体健康的情况下接种卡介苗。,
734,被动物伤了能不能打卡介苗,"动物,伤,卡介苗",卡介苗,被动物伤了建议先前往犬伤处置门诊规范处置，之后再打卡介苗。建议在身体健康的情况下接种卡介苗。,
735,卡介苗的免疫程序是什么,"卡介苗,免疫,程序",卡介苗,婴儿在出生时接种1剂。,
736,孕期被动物伤了能不能打卡介苗,"孕期,动物,伤,卡介苗",卡介苗,孕妇不能接种卡介苗。4岁及以上人群无需接种卡介苗。,
737,打卡介苗该间隔多久,"卡介苗,间隔,多久",卡介苗,婴儿在出生时接种1剂。,
738,打卡介苗间隔最长是多久,"卡介苗,间隔,最长,多久",卡介苗,仅接种1剂。,
739,给孩子打卡介苗什么时候打适合,"孩子,卡介苗,适合",卡介苗,出生的时候就应该接种，出生时未接种者满4周岁前均可接种。,
740,为什么出生要打卡介苗,"出生,卡介苗",卡介苗,卡介苗（BCG）是一种无毒牛型结核分枝杆菌活菌疫苗，它可以阻止结核分枝杆菌的血液播散，但不能阻止原发感染，主要预防婴幼儿结核性脑膜炎和结核播散性疾病。,
741,卡介苗从出生开始打几次,"卡介苗,出生,几次",卡介苗,一般情况下，婴儿在出生时接种1剂。,
742,卡介苗是不是刚出生的时候打过了,"卡介苗,刚出生,打过",卡介苗,一般情况下，婴儿在出生时接种1剂。您可在您孩子的预防接种证上查阅接种记录。,
743,卡介苗的接种对象,"卡介苗,接种,对象",卡介苗,卡介苗疫苗的接种对象主要为≤3岁儿童。,
744,打卡介苗后可以吃药物吗,"卡介苗,吃,药物",卡介苗,在接种疫苗之后的三天之内，需要注意避免使用抗生素类药物，以免影响到疫苗的预防效果。,
745,打卡介苗后可以吃食物吗,"卡介苗,吃,食物",卡介苗,可以正常饮食。,
746,打卡介苗的时间,"卡介苗,时间",卡介苗,一般情况下，婴儿在出生时接种1剂。您可在您孩子的预防接种证上查阅接种记录。,
747,打卡介苗后可以喝酒吗,"卡介苗,喝酒",卡介苗,4岁及以上人群无需接种卡介苗。建议不要酗酒。,
748,打卡介苗可以喂奶吗,"卡介苗,喂奶",卡介苗,可以正常饮食。,
749,打卡介苗的地点,"卡介苗,地点","卡介苗,地点,哪里,接种点",出生时在产科接种卡介苗。出生时未接种者，可到各区指定的卡介苗门诊接种。详细信息可关注“上海疾控”微信公众号进行查询。,
750,接种卡介苗能中断吗,"接种,卡介苗,中断",卡介苗,卡介苗仅接种1剂。,
751,接种卡介苗的过敏情况,"接种,卡介苗,过敏,情况",卡介苗,少数人可能出现过敏性皮疹等症状,
752,卡介苗可以报销吗,"卡介苗,报销",卡介苗,卡介苗接种是免费的。,
753,打了卡介苗可以洗澡吗如果洗了有什么影响,"卡介苗,洗澡,洗,影响",卡介苗,可以洗澡，请避免着凉和保持接种部位干净干燥。,
754,接种了卡介苗红肿可以洗澡吗,"接种,卡介苗,红肿,洗澡",卡介苗,可以洗澡，请避免着凉和保持接种部位干净干燥。,
755,打了卡介苗后怎么洗澡,"卡介苗,洗澡",卡介苗,可以洗澡，请避免着凉和保持接种部位干净干燥。,
756,接种了卡介苗后有脓可以洗澡吗,"接种,卡介苗,脓,洗澡",卡介苗,可以洗澡，请避免着凉和保持接种部位干净干燥。,
757,打卡介苗前可以洗澡吗,"卡介苗,前,洗澡",卡介苗,可以洗澡，请避免着凉和保持接种部位干净干燥。,
758,打卡介苗会拉肚子吗,"卡介苗,拉肚子",卡介苗,打卡介苗不会引起腹泻。若症状严重，可能有其他感染，请及时就医。,
759,宝宝打了卡介苗会哭闹吗,"宝宝,卡介苗,哭闹",卡介苗,宝宝接种卡介苗后可能会发生哭闹，一般仅需观察。若有严重异常反应，请及时就医。,
760,打卡介苗之后会不会过敏,"卡介苗,会不会,过敏",卡介苗,少数人可能出现过敏性皮疹等症状,
761,打卡介苗之后过敏有什么症状,"卡介苗,过敏,症状",卡介苗,少数人可能出现过敏性皮疹等症状,
762,打卡介苗之后接种成功了吗,"卡介苗,接种,成功",卡介苗,卡介苗接种后不建议复种。,
763,打卡介苗可以要孩子吗,"卡介苗,孩子",卡介苗,4岁及以上人群无需接种卡介苗。,
764,打卡介苗多久可以怀孕,"卡介苗,多久,怀孕",卡介苗,4岁及以上人群无需接种卡介苗。,
765,卡介苗的反应期,"卡介苗,期",卡介苗,卡介苗一般需要1-2个月左右生效。,
766,卡介苗的简写,"卡介苗,简写",卡介苗,卡介苗,
767,卡介苗的学名,"卡介苗,学名",卡介苗,卡介苗,
768,打卡介苗会引起发烧吗,"卡介苗,发烧",卡介苗,接种疫苗后可能出现一过性的发热，一般会自行恢复，如果发生高热或持续不退，请及时就医。,
769,打卡介苗会引起红疹吗,"卡介苗,红疹",卡介苗,接种卡介苗较少出现红疹，若红疹持续增多请及时就医。,
770,打卡介苗会引起心悸吗,"卡介苗,心悸",卡介苗,未接到接种卡介苗后心悸的报告，若症状严重，请及时就医。,
771,打卡介苗会引起癫痫吗,"卡介苗,癫痫",卡介苗,未接到接种卡介苗后发生癫痫的报告，若症状严重，请及时就医。,
772,打卡介苗会引起银肖病吗,"卡介苗,银肖病",卡介苗,未接到接种卡介苗后发生银屑病的报告，若症状严重，请及时就医。,
773,打卡介苗会引起脑炎吗,"卡介苗,脑炎",卡介苗,未接到接种卡介苗后发生脑炎的报告，若症状严重，请及时就医。,
774,打卡介苗会引起荨麻疹吗,"卡介苗,荨麻疹",卡介苗,未接到接种卡介苗后发生荨麻疹的报告，若症状严重，请及时就医。,
775,打卡介苗会引起急性肠胃炎吗,"卡介苗,急性,肠胃炎",卡介苗,打卡介苗疫苗不会引起急性肠胃炎。,
776,打卡介苗引起的发烧一般多少度,"卡介苗,发烧,多少度",卡介苗,接种疫苗后可能出现一过性的发热，一般会自行恢复，如果发生高热或持续不退，请及时就医。,
777,卡介苗什么情况下需要补种,"卡介苗,情况,补种",卡介苗,"出生体重＜2500g的新生儿暂缓接种，待体重达到2500g后接种。未接种卡介苗的＜3月龄儿童可直接补种；3月龄～3岁儿童，需进行结核菌素纯蛋白衍生物（TB-PPD）或卡介菌蛋白衍生物（BCG-PPD）试验，试验阴性者予以补种；≥4岁儿童不予补种。有卡介苗接种史但无卡疤者，不予复种。",
778,卡介苗需要打进口的吗,"卡介苗,进口",卡介苗,卡介苗只有国产的。,
779,卡介苗一年接种几次,"卡介苗,一年,接种,几次",卡介苗,仅接种1次,
780,有性生活是否还需要打卡介苗,"性生活,卡介苗",卡介苗,4岁及以上人群无需接种卡介苗。,
781,打卡介苗该如何预约,"卡介苗,预约",卡介苗,出生时在产科接种卡介苗。出生时未接种者，可到各区指定的卡介苗门诊接种。详细信息可关注“上海疾控”微信公众号进行查询。,
782,卡介苗需要多少钱,"卡介苗,钱",卡介苗,卡介苗接种是免费的。,
783,打卡介苗需要带什么,卡介苗,卡介苗,在卡介苗门诊补种时需携带预防接种证及门诊要求提供的相关证件。,
784,打卡介苗后感冒发烧需要吃药吗,"卡介苗,感冒,发烧,吃药",卡介苗,应遵照医嘱治疗相关疾病。,
785,孕前检查需要打卡介苗吗,"孕前,检查,卡介苗",卡介苗,孕期不可以打卡介苗。,
786,接种卡介苗后没反应有问题吗,"接种,卡介苗",卡介苗,有无 出现“卡疤”及“卡疤”的大小与接种效果无关。接种卡介苗后没有反应也是正常的。,
787,婴幼儿能否接种卡介苗,"婴幼儿,接种,卡介苗",卡介苗,卡介苗的接种对象主要为≤3岁儿童。,
788,不打卡介苗会有什么后果,"卡介苗,后果",卡介苗,卡介苗（BCG）是一种无毒牛型结核分枝杆菌活菌疫苗，它可以阻止结核分枝杆菌的血液播散，但不能阻止原发感染，主要预防婴幼儿结核性脑膜炎和结核播散性疾病，如果不予治疗，这两种疾病通常致死。,
789,卡介苗需要接种几次,"卡介苗,接种,几次",卡介苗,仅接种1次,
790,卡介苗是属于国产的么,"卡介苗,国产",卡介苗,是的,
791,卡介苗是属于活的还是死的疫苗呀,"卡介苗,死,疫苗",卡介苗,卡介苗属于活疫苗。,
792,卡介苗是不是终生免疫,"卡介苗,终生,免疫",卡介苗,卡介苗不是终身免疫疫苗，通常认为保护水平会逐年下降，经10—20年后降至不显著的水平。,
793,卡介苗多久起效,"卡介苗,多久,起效",卡介苗,卡介苗一般需要1-2个月左右生效。,
794,接种卡介苗要不要做蛋清测试,"接种,卡介苗,做,蛋清,测试",卡介苗,接种卡介苗不需要做蛋清测试。,
795,打卡介苗能吃鸡蛋吗,"卡介苗,吃,鸡蛋",卡介苗,打完卡介苗一般是可以吃鸡蛋的，如对鸡蛋过敏，则慎吃。,
796,卡介苗的年龄限制,"卡介苗,年龄",卡介苗,4岁及以上人群无需接种卡介苗。,
797,卡介苗是自费还是免费,"卡介苗,自费,免费",卡介苗,卡介苗是免费接种的,
798,卡介苗的接种方式哪种比较好,"卡介苗,接种,方式",卡介苗,接种剂量：0.1ml。接种途径和推荐接种部位：皮内，上臂三角肌中部略下处。,
799,哪种卡介苗比较好,卡介苗,卡介苗,卡介苗只有1种,
800,卡介苗的常识,"卡介苗,常识",卡介苗,卡介苗（BCG）是一种无毒牛型结核分枝杆菌活菌疫苗，它可以阻止结核分枝杆菌的血液播散，但不能阻止原发感染，主要预防婴幼儿结核性脑膜炎和结核播散性疾病，如果不予治疗，这两种疾病通常致死。,
801,卡介苗打几价比较好,"卡介苗,打几价",卡介苗,卡介苗只有1种,
802,卡介苗不能空腹注射是吗,"卡介苗,空腹,注射",卡介苗,没有是否需要空腹的限制。,
803,打完卡介苗后哪些药能吃哪些药不能吃,"完,卡介苗,药能,吃,药,吃",卡介苗,如患有疾病需吃药，请按医嘱进行治疗。,
804,打完卡介苗之后哪些食物能吃哪些不能,"完,卡介苗,食物,吃",卡介苗,可以正常饮食。,
805,疾病患者是否能接种卡介苗,"疾病,患者,接种,卡介苗",卡介苗,建议在健康的状况下接种卡介苗。,
806,接种卡介苗和季节有关系吗,"接种,卡介苗,季节,关系",卡介苗,接种卡介苗疫苗和季节没有关系,
807,天气热不能打卡介苗吗,"天气,热,卡介苗",卡介苗,天气热可以接种卡介苗疫苗。,
808,两个月宝宝打卡介苗会引起肚子痛吗,"两个,月,宝宝,卡介苗,肚子痛",卡介苗,打卡介苗一般不会肚子痛。若症状严重，请及时就医。,
809,打了手足口疫苗之后还会感染吗,"手足口,疫苗,还会,感染",手足口,理论上，接种EV71病毒疫苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。但本疫苗不能预防其他肠道病毒(包括柯萨奇A组16型等病毒)感染所致的手足口病。,
810,打了手足口疫苗之后还会传染吗,"手足口,疫苗,还会,传染",手足口,接种肠道病毒71型灭活疫苗可刺激机体产生抗EV71的免疫力，用于预防EV71感染所致的手足口病。但本品不能预防其他肠道病毒(包括柯萨奇A组16型等病毒)感染所致的手足口病。,
811,打了手足口疫苗之后还会得病吗,"手足口,疫苗,还会,得病",手足口,理论上，接种EV71病毒疫苗后，感染相应疾病的风险就很低。少数人接种后未产生保护力，或者仍然发病，与疫苗本身特性和受种者个人体质有关。但本疫苗不能预防其他肠道病毒(包括柯萨奇A组16型等病毒)感染所致的手足口病。,
812,不打手足口疫苗之后会得水痘吗,"手足口,疫苗,会得,水痘",手足口,手足口病疫苗不能预防水痘,
813,打了手足口疫苗之后会得湿疹吗,"手足口,疫苗,会得,湿疹",手足口,手足口病疫苗不能预防湿疹,
814,打手足口疫苗后得水痘验血能验出来吗,"手足口,疫苗,水痘,验血,能验",手足口,不能检验出来,
815,刚出水痘可以接种手足口疫苗吗,"刚出,水痘,接种,手足口,疫苗",水痘,建议在水痘治愈后，再接种手足口病疫苗,
816,被动物伤了能不能打手足口疫苗,"动物,伤,手足口,疫苗",手足口病疫苗,可以接种,
817,手足口疫苗的免疫程序是什么,"手足口,疫苗,免疫,程序",手足口病疫苗,手足口病疫苗的基础免疫程序为2剂次，间隔1个月。每1次人用剂量为0.5ml。,
818,孕期被动物伤了能不能打手足口疫苗,"孕期,动物,伤,手足口,疫苗",手足口病疫苗,手足口疫苗接种年龄为6月龄-5周岁,
819,接种手足口疫苗有哪些不良反应,"接种,手足口,疫苗,不良反应",手足口病疫苗,常见不良反应有发热，局部疼痛、发红、肿胀、硬结，食欲不振/厌食/烦躁/易激惹、腹泻、恶心呕吐、嗜睡乏力、变态反应/过敏反应等。均可自行消退。,
820,什么情况下不能打手足口疫苗,"情况,手足口,疫苗",手足口病疫苗,已知对EV71型手足口病疫苗任何一种成分过敏者，发热、急性疾病期患者及慢性疾病急性发作患者不得接种。如有下列情况，应在决定是否接种时慎重考虑：1.患有血小板减少症或者出血性疾病者，肌肉注射本疫苗可能会引起注射部位出血。2.正在接受免疫抑制治疗或免疫功能缺陷的患者，接种本疫苗产生的免疫应答可能会减弱。接种应推迟到治疗结束后或确保其得到了很好的保护。但对慢性免疫功能缺陷的患者，即使基础疾病可能会使免疫应答受限，也应推荐接种。3.未控制的癫痫患者和其他进行性神经系统疾病（如格林巴利综合征等）患者，应慎重考虑是否接种该疫苗。其他禁忌和慎用情况可参考相应企业的疫苗说明书。,
821,打手足口疫苗该间隔多久,"手足口,疫苗,间隔,多久",手足口病疫苗,至少间隔1个月,
822,打手足口疫苗间隔最长是多久,"手足口,疫苗,间隔,最长,多久",手足口病疫苗,至少间隔1个月,
823,给孩子打手足口疫苗什么时候打适合,"孩子,手足口,疫苗,适合",手足口病疫苗,疫苗接种对象为≥6月龄易感儿童，越早接种越好；鼓励在12月龄前完成接种程序，以便尽早发挥保护作用。对于5岁以上儿童，不推荐接种。如今后疾病流行病学特征发生变化，出现大年龄组儿童发病率增高的趋势时，经科学评估后，再对接种对象做出评估和调整,
824,手足口疫苗适合多大的时候打,"手足口,疫苗,适合,多大",手足口病疫苗,疫苗接种对象为≥6月龄易感儿童，越早接种越好；鼓励在12月龄前完成接种程序，以便尽早发挥保护作用。对于5岁以上儿童，不推荐接种。如今后疾病流行病学特征发生变化，出现大年龄组儿童发病率增高的趋势时，经科学评估后，再对接种对象做出评估和调整,
825,接种手足口疫苗该注意什么,"接种,手足口,疫苗",手足口病疫苗,手足口病疫苗严禁血管内注射。受种者在接种本疫苗后应在现场观察至少30分钟。患有血小板减少症或者出血性疾病者，肌肉注射本疫苗可能会引起出血。正在接受免疫抑制治疗或免疫功能缺陷的患者，接种本疫苗产生的免疫反应可能会减弱。接种应推迟到治疗结束后或确保其得到了很好的保护。接种本品与注射人免疫球蛋白应至少间隔1个月以上，以免影响免疫效果。,
826,接种手足口疫苗的不良反应,"接种,手足口,疫苗,不良反应",手足口病疫苗,常见不良反应有发热，局部疼痛、发红、肿胀、硬结，食欲不振/厌食/烦躁/易激惹、腹泻、恶心呕吐、嗜睡乏力、变态反应/过敏反应等。均可自行消退。,
827,接种手足口疫苗的作用,"接种,手足口,疫苗,作用",手足口病疫苗,手足口病疫苗适用于6月龄至5岁EV71病毒易感者。,
828,接种手足口疫苗的反应是什么,"接种,手足口,疫苗",手足口病疫苗,常见不良反应有发热，局部疼痛、发红、肿胀、硬结，食欲不振/厌食/烦躁/易激惹、腹泻、恶心呕吐、嗜睡乏力、变态反应/过敏反应等。均可自行消退。,
829,接种手足口疫苗会有反应吗,"接种,手足口,疫苗",手足口病疫苗,常见不良反应有发热，局部疼痛、发红、肿胀、硬结，食欲不振/厌食/烦躁/易激惹、腹泻、恶心呕吐、嗜睡乏力、变态反应/过敏反应等。均可自行消退。,
830,为什么出生要打手足口疫苗,"出生,手足口,疫苗",手足口病疫苗,预防EV71型手足口病,
831,手足口疫苗从出生开始打几次,"手足口,疫苗,出生,几次",手足口病疫苗,2次,
832,手足口疫苗是不是刚出生的时候打过了,"手足口,疫苗,刚出生,打过",手足口病疫苗,不是，6月龄开始可自愿接种,
833,手足口疫苗的接种对象,"手足口,疫苗,接种,对象",手足口病疫苗,手足口病疫苗适用于6月龄至5岁EV71病毒易感者。,
834,打手足口疫苗后可以吃药物吗,"手足口,疫苗,吃,药物",手足口病疫苗,需根据所需要使用的药物的情况决定的，请谨遵医嘱,
835,打手足口疫苗后可以吃食物吗,"手足口,疫苗,吃,食物",手足口病疫苗,忌抽烟、饮酒、饮用浓茶，尽量不要吃酸辣刺激性的食物，不要进食过分油腻的食物,
836,打手足口疫苗的时间,"手足口,疫苗,时间",手足口病疫苗,手足口病疫苗适用于6月龄至5岁EV71病毒易感者。,
837,打手足口疫苗后可以喝酒吗,"手足口,疫苗,喝酒",手足口,接种疫苗后，不建议饮酒,
838,打手足口疫苗可以喂奶吗,"手足口,疫苗,喂奶",手足口,可以,
839,打手足口疫苗的地点,"手足口,疫苗,地点","手足口,哪里,地点,接种点",一般可以在当地的疾病控制中心和社区卫生服务中心等接种,
840,接种手足口疫苗的过敏情况,"接种,手足口,疫苗,过敏,情况",手足口,少数人可能出现过敏性皮疹等症状,
841,手足口疫苗可以报销吗,"手足口,疫苗,报销",手足口,您好，手足口病疫苗不是免费疫苗，不能报销,
842,打了手足口疫苗可以洗澡吗如果洗了有什么影响,"手足口,疫苗,洗澡,洗,影响",手足口,可以洗澡，请避免着凉和保持接种部位干净干燥。,
843,接种了手足口疫苗红肿可以洗澡吗,"接种,手足口,疫苗,红肿,洗澡",手足口,可以洗澡，请避免着凉和保持接种部位干净干燥。,
844,接种了手足口疫苗后有脓可以洗澡吗,"接种,手足口,疫苗,脓,洗澡",手足口,可以洗澡，请避免着凉和保持接种部位干净干燥。,
845,打手足口疫苗前可以洗澡吗,"手足口,疫苗,前,洗澡",手足口,可以洗澡，请避免着凉和保持接种部位干净干燥。,
846,打手足口疫苗会拉肚子吗,"手足口,疫苗,拉肚子",手足口,接种疫苗后，由于个体体质不同，可能会产生腹泻等不良反应,
847,宝宝打了手足口疫苗会哭闹吗,"宝宝,手足口,疫苗,哭闹",手足口,接种疫苗后，会出现接种局部红肿，烦躁不安，胃口不好，低烧等症状，引起哭闹等症状,
848,打手足口疫苗之后会不会过敏,"手足口,疫苗,会不会,过敏",手足口,少数人可能出现过敏性皮疹等症状,
849,打手足口疫苗可以要孩子吗,"手足口,疫苗,孩子",手足口,手足口疫苗接种年龄为6月龄-5周岁,
850,打手足口疫苗多久可以怀孕,"手足口,疫苗,多久,怀孕",手足口,手足口疫苗接种年龄为6月龄-5周岁,
851,手足口疫苗的反应期,"手足口,疫苗,期",手足口,1周左右产生抗体,
852,手足口疫苗的简写,"手足口,疫苗,简写",手足口,手足口病疫苗,
853,手足口疫苗的学名,"手足口,疫苗,学名",手足口,手足口病疫苗,
854,手足口疫苗是什么疫苗,"手足口,疫苗,疫苗",手足口,灭活疫苗,
855,打了手足口疫苗有什么反应,"手足口,疫苗",手足口,常见不良反应有发热，局部疼痛、发红、肿胀、硬结，食欲不振/厌食/烦躁/易激惹、腹泻、恶心呕吐、嗜睡乏力、变态反应/过敏反应等。均可自行消退。,
856,过度接种手足口疫苗的危害,"过度,接种,手足口,疫苗,危害",手足口,按说明书接种,
857,打手足口疫苗会引起发烧吗,"手足口,疫苗,发烧",手足口,接种疫苗后若发烧，持续的温度不高的话，一般不使用退烧药；若持续温度很高，精神状态不佳，建议及时就诊,
858,打手足口疫苗会引起红疹吗,"手足口,疫苗,红疹",手足口,接种疫苗后，会出现红疹瘙痒等不良反应；需进行观察，若症状持续，建议及时就医,
859,打手足口疫苗会引起心悸吗,"手足口,疫苗,心悸",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
860,打手足口疫苗会引起癫痫吗,"手足口,疫苗,癫痫",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
861,打手足口疫苗会引起银肖病吗,"手足口,疫苗,银肖病",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
862,打手足口疫苗会引起脑炎吗,"手足口,疫苗,脑炎",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
863,打手足口疫苗会引起荨麻疹吗,"手足口,疫苗,荨麻疹",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
864,打手足口疫苗会引起急性肠胃炎吗,"手足口,疫苗,急性,肠胃炎",手足口,注射手足口病疫苗可能有发热或者腹泻、部位发红，有痛感、酸痛、低烧等副作用。但是注射手足口病疫苗以后的腹泻不排除是其他原因引起的。比如着凉、肠炎、消化不良等等。,
865,打手足口疫苗引起的发烧一般多少度,"手足口,疫苗,发烧,多少度",手足口,?您好，接种手足口病疫苗后可能会导致发热的发生，一般不超过38.5度，2-3天左右恢复正常，如果发热持续应该考虑是由于病原体感染引起。,
866,手足口疫苗要不要打,"手足口,疫苗",手足口,按“知情、自愿、自费”原则接种,
867,手足口疫苗能预防什么疾病,"手足口,疫苗,预防,疾病",手足口,手足口病疫苗适用于6月龄至5岁EV71病毒易感者。,
868,有性生活是否还需要打手足口疫苗,"性生活,手足口,疫苗",手足口,手足口疫苗接种年龄为6月龄-5周岁,
869,打手足口疫苗该如何预约,"手足口,疫苗,预约",手足口,去接种门诊预约,
870,手足口疫苗需要多少钱,"手足口,疫苗,钱",手足口,具体请至门诊咨询,
871,打手足口疫苗需要带什么,"手足口,疫苗",手足口,接种记录本,
872,接种手足口疫苗的免疫程序,"接种,手足口,疫苗,免疫,程序",手足口,手足口病疫苗的基础免疫程序为2剂次，间隔1个月。每1次人用剂量为0.5ml。,
873,打手足口疫苗后感冒发烧需要吃药吗,"手足口,疫苗,感冒,发烧,吃药",手足口,建议及时就医，遵医嘱,
874,手足口疫苗是否自费,"手足口,疫苗,自费",手足口,您好，是自费的,
875,孕前检查需要打手足口疫苗吗,"孕前,检查,手足口,疫苗",手足口,手足口疫苗接种年龄为6月龄-5周岁,
876,接种手足口疫苗的时间,"接种,手足口,疫苗,时间",手足口,疫苗接种对象为≥6月龄易感儿童，越早接种越好；鼓励在12月龄前完成接种程序，以便尽早发挥保护作用。对于5岁以上儿童，不推荐接种。如今后疾病流行病学特征发生变化，出现大年龄组儿童发病率增高的趋势时，经科学评估后，再对接种对象做出评估和调整,
877,婴幼儿能否接种手足口疫苗,"婴幼儿,接种,手足口,疫苗",手足口,婴幼儿可以接种手足口疫苗。,
878,不打手足口疫苗会有什么后果,"手足口,疫苗,后果",手足口,可能感染EV71型病毒所致的重症手足口病,
879,手足口疫苗需要接种几次,"手足口,疫苗,接种,几次",手足口,手足口病疫苗的基础免疫程序为2剂次，间隔1个月。每1次人用剂量为0.5ml。,
